,P (MPa),T (°C),Specific Volume (m^3/kg),Density (kg/m^3),Specific Internal Energy (kJ/kg),Specific Enthalpy (kJ/kg),Specific Entropy [kJ/(kg K)]
2447,0.35,45.0,0.00100977,990.32,188.3765805,188.73,0.63847
2448,0.35,50.0,0.001012,988.14,209.2758,209.63,0.70365
2449,0.35,55.0,0.0010144,985.8,230.18496,230.54,0.76786
2450,0.35,60.0,0.00101698,983.3,251.104057,251.46,0.83112
2451,0.35,65.0,0.00101972,980.66,272.033098,272.39,0.89347
2452,0.35,70.0,0.00102263,977.87,292.9720795,293.33,0.95494
2453,0.35,75.0,0.00102569,974.95,313.9210085,314.28,1.0156
2454,0.35,80.0,0.00102891,971.9,334.8898815,335.25,1.0754
2455,0.35,85.0,0.00103229,968.72,355.8786985,356.24,1.1344
2456,0.35,90.0,0.00103581,965.42,376.8974665,377.26,1.1927
2457,0.35,95.0,0.0010395,962.0,397.926175,398.29,1.2502
2458,0.35,100.0,0.00104333,958.47,418.9848345,419.35,1.307
2459,0.35,105.0,0.00104732,954.81,440.073438,440.44,1.3632
2460,0.35,110.0,0.00105147,951.05,461.2019855,461.57,1.4187
2461,0.35,115.0,0.00105578,947.17,482.350477,482.72,1.4735
2462,0.35,120.0,0.00106024,943.18,503.548916,503.92,1.5278
2463,0.35,125.0,0.00106487,939.08,524.7872955,525.16,1.5814
2464,0.35,130.0,0.00106966,934.88,546.065619,546.44,1.6346
2465,0.35,135.0,0.00107463,930.56,567.3938795,567.77,1.6872
2466,0.35,138.857,0.00107857,927.15,583.8825005,584.26,1.7274
2467,0.35,138.857,0.52418,1.9077,2548.537,2732.0,6.9401
2468,0.35,140.0,0.52591,1.9015,2550.5315,2734.6,6.9465
2469,0.35,145.0,0.53341,1.8747,2559.2065,2745.9,6.9738
2470,0.35,150.0,0.54083,1.849,2567.8095,2757.1,7.0003
2471,0.35,155.0,0.54818,1.8242,2576.237,2768.1,7.0261
2472,0.35,160.0,0.55547,1.8003,2584.4855,2778.9,7.0514
2473,0.35,165.0,0.56272,1.7771,2592.748,2789.7,7.0761
2474,0.35,170.0,0.56991,1.7547,2600.9315,2800.4,7.1004
2475,0.35,175.0,0.57707,1.7329,2609.1255,2811.1,7.1243
2476,0.35,180.0,0.58419,1.7118,2617.1335,2821.6,7.1477
2477,0.35,185.0,0.59128,1.6912,2625.152,2832.1,7.1708
2478,0.35,190.0,0.59834,1.6713,2633.181,2842.6,7.1935
2479,0.35,195.0,0.60537,1.6519,2641.1205,2853.0,7.2159
2480,0.35,200.0,0.61238,1.633,2649.067,2863.4,7.238
2481,0.35,210.0,0.62633,1.5966,2664.8845,2884.1,7.2813
2482,0.35,220.0,0.6402,1.562,2680.63,2904.7,7.3235
2483,0.35,230.0,0.654,1.529,2696.3,2925.2,7.3647
2484,0.35,240.0,0.66775,1.4976,2711.9875,2945.7,7.405
2485,0.35,250.0,0.68145,1.4675,2727.6925,2966.2,7.4444
2486,0.35,260.0,0.6951,1.4386,2743.315,2986.6,7.4831
2487,0.35,270.0,0.70872,1.411,2758.948,3007.0,7.5211
2488,0.35,280.0,0.7223,1.3845,2774.595,3027.4,7.5583
2489,0.35,290.0,0.73585,1.359,2790.3525,3047.9,7.5949
2490,0.35,300.0,0.74937,1.3344,2806.0205,3068.3,7.6309
2491,0.35,310.0,0.76287,1.3108,2821.7955,3088.8,7.6664
2492,0.35,320.0,0.77635,1.2881,2837.5775,3109.3,7.7012
2493,0.35,330.0,0.78981,1.2661,2853.3665,3129.8,7.7355
2494,0.35,340.0,0.80325,1.2449,2869.2625,3150.4,7.7693
2495,0.35,350.0,0.81668,1.2245,2885.162,3171.0,7.8027
2496,0.35,360.0,0.83009,1.2047,2901.0685,3191.6,7.8355
2497,0.35,370.0,0.84348,1.1856,2917.082,3212.3,7.868
2498,0.35,380.0,0.85687,1.167,2933.1955,3233.1,7.9
2499,0.35,390.0,0.87024,1.1491,2949.316,3253.9,7.9315
2500,0.35,400.0,0.8836,1.1317,2965.44,3274.7,7.9627
2501,0.35,410.0,0.89695,1.1149,2981.6675,3295.6,7.9935
2502,0.35,420.0,0.9103,1.0985,2997.895,3316.5,8.0239
2503,0.35,430.0,0.92363,1.0827,3014.2295,3337.5,8.054
2504,0.35,440.0,0.93696,1.0673,3030.664,3358.6,8.0837
2505,0.35,450.0,0.95028,1.0523,3047.102,3379.7,8.1131
2506,0.35,460.0,0.9636,1.0378,3063.54,3400.8,8.1422
2507,0.35,470.0,0.9769,1.0236,3080.085,3422.0,8.1709
2508,0.35,480.0,0.99021,1.0099,3096.7265,3443.3,8.1994
2509,0.35,490.0,1.0035,0.99651,3113.475,3464.7,8.2275
2510,0.35,500.0,1.0168,0.98348,3130.22,3486.1,8.2554
2511,0.35,520.0,1.0434,0.95844,3163.91,3529.1,8.3103
2512,0.35,540.0,1.0699,0.93465,3197.835,3572.3,8.3642
2513,0.35,560.0,1.0965,0.91203,3232.025,3615.8,8.417
2514,0.35,580.0,1.123,0.89049,3266.55,3659.6,8.4689
2515,0.35,600.0,1.1495,0.86995,3301.275,3703.6,8.52
2516,0.35,620.0,1.176,0.85034,3336.3,3747.9,8.5701
2517,0.35,640.0,1.2025,0.83161,3371.625,3792.5,8.6195
2518,0.35,660.0,1.229,0.81369,3407.25,3837.4,8.6681
2519,0.35,680.0,1.2555,0.79653,3443.075,3882.5,8.7159
2520,0.35,700.0,1.2819,0.78008,3479.235,3927.9,8.7631
2521,0.35,720.0,1.3084,0.7643,3515.66,3973.6,8.8095
2522,0.35,740.0,1.3348,0.74915,3552.32,4019.5,8.8553
2523,0.35,760.0,1.3613,0.73459,3589.345,4065.8,8.9005
2524,0.35,780.0,1.3877,0.72059,3626.605,4112.3,8.9451
2525,0.35,800.0,1.4142,0.70712,3664.13,4159.1,8.9891
2526,0.35,820.0,1.4406,0.69414,3701.89,4206.1,9.0326
2527,0.35,840.0,1.4671,0.68164,3740.015,4253.5,9.0755
2528,0.35,860.0,1.4935,0.66957,3778.375,4301.1,9.1179
2529,0.35,880.0,1.5199,0.65793,3817.035,4349.0,9.1598
2530,0.35,900.0,1.5463,0.64669,3855.895,4397.1,9.2012
2531,0.35,920.0,1.5728,0.63582,3895.02,4445.5,9.2421
2532,0.35,940.0,1.5992,0.62532,3934.48,4494.2,9.2825
2533,0.35,960.0,1.6256,0.61516,3974.24,4543.2,9.3226
2534,0.35,980.0,1.652,0.60532,4014.2,4592.4,9.3621
2535,0.35,1000.0,1.6784,0.59579,4054.36,4641.8,9.4013
2536,0.35,1100.0,1.8105,0.55234,4259.325,4893.0,9.5912
2537,0.35,1200.0,1.9425,0.51481,4470.225,5150.1,9.7719
2538,0.35,1300.0,2.0745,0.48206,4686.825,5412.9,9.9445
2539,0.35,1400.0,2.2064,0.45323,4908.56,5680.8,10.11
2540,0.35,1500.0,2.3383,0.42765,5135.195,5953.6,10.268
2541,0.35,1600.0,2.4703,0.40481,5366.195,6230.8,10.42
2542,0.35,1800.0,2.7341,0.36575,5840.065,6797.0,10.707
2543,0.35,2000.0,2.9979,0.33357,6327.635,7376.9,10.974
2544,0.4,0.0,0.00100001,999.99,-0.030004,0.37,-0.00013
2545,0.4,5.0,0.00099989,1000.11,21.020044,21.42,0.07625
2546,0.4,10.0,0.00100015,999.85,42.00994,42.41,0.15105
2547,0.4,15.0,0.00100076,999.24,62.959696,63.36,0.2244
2548,0.4,20.0,0.00100166,998.34,83.889336,84.29,0.2964
2549,0.4,25.0,0.00100283,997.18,104.798868,105.2,0.36712
2550,0.4,30.0,0.00100424,995.78,125.688304,126.09,0.43663
2551,0.4,35.0,0.00100587,994.17,146.587652,146.99,0.50499
2552,0.4,40.0,0.00100771,992.35,167.476916,167.88,0.57225
2553,0.4,45.0,0.00100975,990.34,188.3761,188.78,0.63845
2554,0.4,50.0,0.00101198,988.17,209.275208,209.68,0.70363
2555,0.4,55.0,0.00101438,985.82,230.174248,230.58,0.76783
2556,0.4,60.0,0.00101696,983.33,251.093216,251.5,0.83109
2557,0.4,65.0,0.0010197,980.68,272.02212,272.43,0.89344
2558,0.4,70.0,0.0010226,977.9,292.96096,293.37,0.95491
2559,0.4,75.0,0.00102567,974.98,313.909732,314.32,1.0155
2560,0.4,80.0,0.00102889,971.92,334.878444,335.29,1.0753
2561,0.4,85.0,0.00103226,968.75,355.867096,356.28,1.1344
2562,0.4,90.0,0.00103579,965.45,376.875684,377.29,1.1926
2563,0.4,95.0,0.00103947,962.03,397.914212,398.33,1.2502
2564,0.4,100.0,0.00104331,958.49,418.972676,419.39,1.307
2565,0.4,105.0,0.0010473,954.84,440.06108,440.48,1.3631
2566,0.4,110.0,0.00105144,951.07,461.179424,461.6,1.4186
2567,0.4,115.0,0.00105575,947.2,482.3377,482.76,1.4735
2568,0.4,120.0,0.00106021,943.21,503.525916,503.95,1.5277
2569,0.4,125.0,0.00106484,939.11,524.764064,525.19,1.5814
2570,0.4,130.0,0.00106963,934.9,546.042148,546.47,1.6345
2571,0.4,135.0,0.00107459,930.58,567.370164,567.8,1.6871
2572,0.4,140.0,0.00107973,926.16,588.758108,589.19,1.7392
2573,0.4,143.608,0.00108355,922.89,604.21658,604.65,1.7765
2574,0.4,143.608,0.46238,2.1627,2553.148,2738.1,6.8955
2575,0.4,145.0,0.46425,2.154,2555.6,2741.3,6.9033
2576,0.4,150.0,0.47088,2.1237,2564.448,2752.8,6.9306
2577,0.4,155.0,0.47744,2.0945,2573.124,2764.1,6.9571
2578,0.4,160.0,0.48393,2.0664,2581.628,2775.2,6.9829
2579,0.4,165.0,0.49037,2.0393,2590.052,2786.2,7.0081
2580,0.4,170.0,0.49676,2.0131,2598.396,2797.1,7.0329
2581,0.4,175.0,0.5031,1.9877,2606.66,2807.9,7.0571
2582,0.4,180.0,0.50941,1.9631,2614.836,2818.6,7.0809
2583,0.4,185.0,0.51569,1.9392,2623.024,2829.3,7.1043
2584,0.4,190.0,0.52193,1.916,2631.128,2839.9,7.1273
2585,0.4,195.0,0.52814,1.8934,2639.144,2850.4,7.15
2586,0.4,200.0,0.53433,1.8715,2647.168,2860.9,7.1723
2587,0.4,210.0,0.54665,1.8293,2663.14,2881.8,7.216
2588,0.4,220.0,0.55888,1.7893,2679.048,2902.6,7.2586
2589,0.4,230.0,0.57104,1.7512,2694.884,2923.3,7.3001
2590,0.4,240.0,0.58314,1.7148,2710.644,2943.9,7.3407
2591,0.4,250.0,0.5952,1.6801,2726.42,2964.5,7.3804
2592,0.4,260.0,0.6072,1.6469,2742.12,2985.0,7.4193
2593,0.4,270.0,0.61917,1.6151,2757.832,3005.5,7.4574
2594,0.4,280.0,0.63111,1.5845,2773.556,3026.0,7.4948
2595,0.4,290.0,0.64301,1.5552,2789.396,3046.6,7.5316
2596,0.4,300.0,0.65489,1.527,2805.144,3067.1,7.5677
2597,0.4,310.0,0.66674,1.4998,2820.904,3087.6,7.6032
2598,0.4,320.0,0.67858,1.4737,2836.768,3108.2,7.6382
2599,0.4,330.0,0.69039,1.4485,2852.644,3128.8,7.6726
2600,0.4,340.0,0.70218,1.4241,2868.528,3149.4,7.7065
2601,0.4,350.0,0.71396,1.4006,2884.416,3170.0,7.7399
2602,0.4,360.0,0.72572,1.3779,2900.412,3190.7,7.7728
2603,0.4,370.0,0.73747,1.356,2916.512,3211.5,7.8053
2604,0.4,380.0,0.74921,1.3347,2932.516,3232.2,7.8374
2605,0.4,390.0,0.76093,1.3142,2948.628,3253.0,7.869
2606,0.4,400.0,0.77264,1.2943,2964.844,3273.9,7.9002
2607,0.4,410.0,0.78435,1.2749,2981.06,3294.8,7.9311
2608,0.4,420.0,0.79605,1.2562,2997.38,3315.8,7.9615
2609,0.4,430.0,0.80773,1.238,3013.708,3336.8,7.9917
2610,0.4,440.0,0.81941,1.2204,3030.136,3357.9,8.0214
2611,0.4,450.0,0.83109,1.2032,3046.564,3379.0,8.0508
2612,0.4,460.0,0.84275,1.1866,3063.1,3400.2,8.0799
2613,0.4,470.0,0.85441,1.1704,3079.636,3421.4,8.1087
2614,0.4,480.0,0.86607,1.1546,3096.372,3442.8,8.1372
2615,0.4,490.0,0.87771,1.1393,3113.016,3464.1,8.1654
2616,0.4,500.0,0.88936,1.1244,3129.756,3485.5,8.1933
2617,0.4,520.0,0.91263,1.0957,3163.548,3528.6,8.2482
2618,0.4,540.0,0.93589,1.0685,3197.544,3571.9,8.3021
2619,0.4,560.0,0.95913,1.0426,3231.748,3615.4,8.355
2620,0.4,580.0,0.98236,1.018,3266.256,3659.2,8.4069
2621,0.4,600.0,1.0056,0.99446,3300.96,3703.2,8.458
2622,0.4,620.0,1.0288,0.97202,3336.08,3747.6,8.5082
2623,0.4,640.0,1.052,0.95059,3371.4,3792.2,8.5576
2624,0.4,660.0,1.0752,0.93009,3406.92,3837.0,8.6062
2625,0.4,680.0,1.0983,0.91046,3442.88,3882.2,8.654
2626,0.4,700.0,1.1215,0.89165,3479.0,3927.6,8.7012
2627,0.4,720.0,1.1447,0.8736,3515.42,3973.3,8.7477
2628,0.4,740.0,1.1678,0.85628,3552.18,4019.3,8.7935
2629,0.4,760.0,1.191,0.83963,3589.1,4065.5,8.8387
2630,0.4,780.0,1.2142,0.82362,3626.32,4112.0,8.8833
2631,0.4,800.0,1.2373,0.80821,3663.88,4158.8,8.9273
2632,0.4,820.0,1.2604,0.79337,3701.74,4205.9,8.9708
2633,0.4,840.0,1.2836,0.77907,3739.86,4253.3,9.0137
2634,0.4,860.0,1.3067,0.76528,3778.22,4300.9,9.0561
2635,0.4,880.0,1.3298,0.75197,3816.88,4348.8,9.098
2636,0.4,900.0,1.353,0.73911,3855.7,4396.9,9.1394
2637,0.4,920.0,1.3761,0.72669,3894.86,4445.3,9.1803
2638,0.4,940.0,1.3992,0.71468,3934.32,4494.0,9.2208
2639,0.4,960.0,1.4223,0.70306,3974.08,4543.0,9.2608
2640,0.4,980.0,1.4455,0.69182,4014.0,4592.2,9.3004
2641,0.4,1000.0,1.4686,0.68093,4054.26,4641.7,9.3396
2642,0.4,1100.0,1.5841,0.63126,4259.16,4892.8,9.5295
2643,0.4,1200.0,1.6997,0.58835,4470.12,5150.0,9.7102
2644,0.4,1300.0,1.8152,0.55092,4686.72,5412.8,9.8828
2645,0.4,1400.0,1.9306,0.51797,4908.56,5680.8,10.048
2646,0.4,1500.0,2.0461,0.48874,5135.16,5953.6,10.206
2647,0.4,1600.0,2.1615,0.46264,5366.2,6230.8,10.358
2648,0.4,1800.0,2.3924,0.41799,5840.04,6797.0,10.645
2649,0.4,2000.0,2.6232,0.38121,6327.62,7376.9,10.912
2650,0.45,0.0,0.00099998,1000.02,-0.029991,0.42,-0.00012
2651,0.45,5.0,0.00099986,1000.14,21.020063,21.47,0.07625
2652,0.45,10.0,0.00100013,999.87,42.0099415,42.46,0.15105
2653,0.45,15.0,0.00100074,999.27,62.959667,63.41,0.2244
2654,0.45,20.0,0.00100164,998.37,83.889262,84.34,0.29639
2655,0.45,25.0,0.0010028,997.2,104.78874,105.24,0.36711
2656,0.45,30.0,0.00100421,995.8,125.6881055,126.14,0.43662
2657,0.45,35.0,0.00100585,994.19,146.5773675,147.03,0.50498
2658,0.45,40.0,0.00100769,992.37,167.4765395,167.93,0.57223
2659,0.45,45.0,0.00100973,990.37,188.3656215,188.82,0.63843
2660,0.45,50.0,0.00101195,988.19,209.2646225,209.72,0.70361
2661,0.45,55.0,0.00101436,985.85,230.173538,230.63,0.76781
2662,0.45,60.0,0.00101693,983.35,251.0823815,251.54,0.83106
2663,0.45,65.0,0.00101968,980.7,272.011144,272.47,0.89341
2664,0.45,70.0,0.00102258,977.92,292.949839,293.41,0.95488
2665,0.45,75.0,0.00102564,975.0,313.898462,314.36,1.0155
2666,0.45,80.0,0.00102886,971.95,334.867013,335.33,1.0753
2667,0.45,85.0,0.00103224,968.77,355.855492,356.32,1.1343
2668,0.45,90.0,0.00103577,965.47,376.8639035,377.33,1.1926
2669,0.45,95.0,0.00103945,962.05,397.9022475,398.37,1.2501
2670,0.45,100.0,0.00104328,958.51,418.960524,419.43,1.3069
2671,0.45,105.0,0.00104727,954.86,440.0487285,440.52,1.3631
2672,0.45,110.0,0.00105142,951.1,461.166861,461.64,1.4186
2673,0.45,115.0,0.00105572,947.22,482.314926,482.79,1.4734
2674,0.45,120.0,0.00106018,943.23,503.512919,503.99,1.5277
2675,0.45,125.0,0.00106481,939.13,524.7408355,525.22,1.5814
2676,0.45,130.0,0.0010696,934.93,546.02868,546.51,1.6345
2677,0.45,135.0,0.00107456,930.61,567.356448,567.84,1.6871
2678,0.45,140.0,0.0010797,926.18,588.734135,589.22,1.7391
2679,0.45,145.0,0.00108502,921.64,610.171741,610.66,1.7907
2680,0.45,147.903,0.00108819,918.96,622.6503145,623.14,1.8205
2681,0.45,147.903,0.4139,2.4161,2557.145,2743.4,6.856
2682,0.45,150.0,0.41642,2.4014,2560.911,2748.3,6.8678
2683,0.45,155.0,0.42237,2.3676,2569.8335,2759.9,6.895
2684,0.45,160.0,0.42825,2.3351,2578.5875,2771.3,6.9215
2685,0.45,165.0,0.43406,2.3038,2587.273,2782.6,6.9473
2686,0.45,170.0,0.43983,2.2736,2595.7765,2793.7,6.9725
2687,0.45,175.0,0.44555,2.2444,2604.2025,2804.7,6.9971
2688,0.45,180.0,0.45123,2.2162,2612.4465,2815.5,7.0213
2689,0.45,185.0,0.45687,2.1888,2620.8085,2826.4,7.045
2690,0.45,190.0,0.46248,2.1623,2628.984,2837.1,7.0683
2691,0.45,195.0,0.46806,2.1365,2637.173,2847.8,7.0913
2692,0.45,200.0,0.47362,2.1114,2645.271,2858.4,7.1138
2693,0.45,210.0,0.48466,2.0633,2661.403,2879.5,7.158
2694,0.45,220.0,0.49561,2.0177,2677.4755,2900.5,7.2009
2695,0.45,230.0,0.5065,1.9743,2693.375,2921.3,7.2428
2696,0.45,240.0,0.51733,1.933,2709.3015,2942.1,7.2836
2697,0.45,250.0,0.52811,1.8936,2725.1505,2962.8,7.3235
2698,0.45,260.0,0.53884,1.8559,2740.922,2983.4,7.3626
2699,0.45,270.0,0.54953,1.8197,2756.7115,3004.0,7.401
2700,0.45,280.0,0.56018,1.7851,2772.519,3024.6,7.4385
2701,0.45,290.0,0.57081,1.7519,2788.3355,3045.2,7.4754
2702,0.45,300.0,0.5814,1.72,2804.17,3065.8,7.5117
2703,0.45,310.0,0.59198,1.6893,2820.009,3086.4,7.5473
2704,0.45,320.0,0.60253,1.6597,2835.8615,3107.0,7.5824
2705,0.45,330.0,0.61306,1.6312,2851.823,3127.7,7.6169
2706,0.45,340.0,0.62357,1.6037,2867.7935,3148.4,7.6509
2707,0.45,350.0,0.63407,1.5771,2883.7685,3169.1,7.6844
2708,0.45,360.0,0.64455,1.5515,2899.7525,3189.8,7.7174
2709,0.45,370.0,0.65501,1.5267,2915.8455,3210.6,7.7499
2710,0.45,380.0,0.66547,1.5027,2931.9385,3231.4,7.782
2711,0.45,390.0,0.67591,1.4795,2948.0405,3252.2,7.8137
2712,0.45,400.0,0.68634,1.457,2964.247,3273.1,7.845
2713,0.45,410.0,0.69677,1.4352,2980.5535,3294.1,7.8759
2714,0.45,420.0,0.70718,1.4141,2996.869,3315.1,7.9064
2715,0.45,430.0,0.71759,1.3936,3013.1845,3336.1,7.9366
2716,0.45,440.0,0.72799,1.3737,3029.6045,3357.2,7.9664
2717,0.45,450.0,0.73838,1.3543,3046.129,3378.4,7.9958
2718,0.45,460.0,0.74876,1.3355,3062.658,3399.6,8.025
2719,0.45,470.0,0.75914,1.3173,3079.287,3420.9,8.0538
2720,0.45,480.0,0.76951,1.2995,3095.9205,3442.2,8.0823
2721,0.45,490.0,0.77988,1.2823,3112.654,3463.6,8.1105
2722,0.45,500.0,0.79024,1.2654,3129.392,3485.0,8.1384
2723,0.45,520.0,0.81095,1.2331,3163.1725,3528.1,8.1934
2724,0.45,540.0,0.83164,1.2024,3197.162,3571.4,8.2473
2725,0.45,560.0,0.85232,1.1733,3231.356,3614.9,8.3002
2726,0.45,580.0,0.87298,1.1455,3265.959,3658.8,8.3522
2727,0.45,600.0,0.89364,1.119,3300.762,3702.9,8.4033
2728,0.45,620.0,0.91428,1.0938,3335.774,3747.2,8.4535
2729,0.45,640.0,0.93491,1.0696,3371.0905,3791.8,8.5029
2730,0.45,660.0,0.95554,1.0465,3406.707,3836.7,8.5515
2731,0.45,680.0,0.97615,1.0244,3442.6325,3881.9,8.5994
2732,0.45,700.0,0.99676,1.0032,3478.758,3927.3,8.6466
2733,0.45,720.0,1.0174,0.98293,3515.17,3973.0,8.6931
2734,0.45,740.0,1.038,0.96343,3551.9,4019.0,8.7389
2735,0.45,760.0,1.0586,0.94469,3588.93,4065.3,8.7842
2736,0.45,780.0,1.0791,0.92666,3626.205,4111.8,8.8288
2737,0.45,800.0,1.0997,0.90932,3663.735,4158.6,8.8728
2738,0.45,820.0,1.1203,0.89262,3701.565,4205.7,8.9163
2739,0.45,840.0,1.1409,0.87652,3739.595,4253.0,8.9592
2740,0.45,860.0,1.1614,0.861,3778.07,4300.7,9.0016
2741,0.45,880.0,1.182,0.84601,3816.7,4348.6,9.0435
2742,0.45,900.0,1.2026,0.83155,3855.53,4396.7,9.0849
2743,0.45,920.0,1.2231,0.81757,3894.805,4445.2,9.1258
2744,0.45,940.0,1.2437,0.80405,3934.235,4493.9,9.1663
2745,0.45,960.0,1.2643,0.79098,3973.865,4542.8,9.2064
2746,0.45,980.0,1.2848,0.77832,4013.94,4592.1,9.246
2747,0.45,1000.0,1.3054,0.76607,4054.07,4641.5,9.2851
2748,0.45,1100.0,1.4081,0.71018,4259.055,4892.7,9.475
2749,0.45,1200.0,1.5108,0.6619,4470.04,5149.9,9.6558
2750,0.45,1300.0,1.6135,0.61978,4686.625,5412.7,9.8284
2751,0.45,1400.0,1.7161,0.58271,4908.455,5680.7,9.9935
2752,0.45,1500.0,1.8188,0.54982,5135.04,5953.5,10.152
2753,0.45,1600.0,1.9214,0.52046,5366.07,6230.7,10.304
2754,0.45,1800.0,2.1266,0.47023,5840.03,6797.0,10.591
2755,0.45,2000.0,2.3318,0.42885,6327.59,7376.9,10.858
2756,0.5,0.0,0.00099995,1000.05,-0.029975,0.47,-0.00012
2757,0.5,5.0,0.00099984,1000.16,21.02008,21.52,0.07625
2758,0.5,10.0,0.00100011,999.89,42.009945,42.51,0.15104
2759,0.5,15.0,0.00100071,999.29,62.959645,63.46,0.22439
2760,0.5,20.0,0.00100161,998.39,83.879195,84.38,0.29638
2761,0.5,25.0,0.00100278,997.23,104.78861,105.29,0.3671
2762,0.5,30.0,0.00100419,995.83,125.687905,126.19,0.4366
2763,0.5,35.0,0.00100582,994.21,146.57709,147.08,0.50496
2764,0.5,40.0,0.00100767,992.39,167.466165,167.97,0.57221
2765,0.5,45.0,0.00100971,990.39,188.355145,188.86,0.6384
2766,0.5,50.0,0.00101193,988.21,209.254035,209.76,0.70358
2767,0.5,55.0,0.00101434,985.87,230.16283,230.67,0.76778
2768,0.5,60.0,0.00101691,983.37,251.071545,251.58,0.83104
2769,0.5,65.0,0.00101965,980.73,272.000175,272.51,0.89338
2770,0.5,70.0,0.00102256,977.94,292.93872,293.45,0.95485
2771,0.5,75.0,0.00102562,975.02,313.88719,314.4,1.0155
2772,0.5,80.0,0.00102884,971.97,334.85558,335.37,1.0753
2773,0.5,85.0,0.00103221,968.79,355.843895,356.36,1.1343
2774,0.5,90.0,0.00103574,965.49,376.85213,377.37,1.1926
2775,0.5,95.0,0.00103942,962.07,397.89029,398.41,1.2501
2776,0.5,100.0,0.00104326,958.54,418.94837,419.47,1.3069
2777,0.5,105.0,0.00104725,954.88,440.026375,440.55,1.363
2778,0.5,110.0,0.00105139,951.12,461.144305,461.67,1.4185
2779,0.5,115.0,0.00105569,947.24,482.302155,482.83,1.4734
2780,0.5,120.0,0.00106016,943.26,503.48992,504.02,1.5276
2781,0.5,125.0,0.00106478,939.16,524.72761,525.26,1.5813
2782,0.5,130.0,0.00106957,934.95,546.005215,546.54,1.6344
2783,0.5,135.0,0.00107453,930.64,567.332735,567.87,1.687
2784,0.5,140.0,0.00107967,926.21,588.710165,589.25,1.7391
2785,0.5,145.0,0.00108499,921.67,610.147505,610.69,1.7907
2786,0.5,150.0,0.00109049,917.02,631.644755,632.19,1.8418
2787,0.5,151.831,0.00109255,915.29,639.543725,640.09,1.8604
2788,0.5,151.831,0.37481,2.668,2560.695,2748.1,6.8207
2789,0.5,155.0,0.37827,2.6436,2566.565,2755.7,6.8384
2790,0.5,160.0,0.38366,2.6064,2575.57,2767.4,6.8656
2791,0.5,165.0,0.38899,2.5708,2584.405,2778.9,6.8919
2792,0.5,170.0,0.39426,2.5364,2593.07,2790.2,6.9176
2793,0.5,175.0,0.39948,2.5033,2601.66,2801.4,6.9427
2794,0.5,180.0,0.40466,2.4712,2610.07,2812.4,6.9673
2795,0.5,185.0,0.4098,2.4402,2618.5,2823.4,6.9913
2796,0.5,190.0,0.41491,2.4102,2626.845,2834.3,7.015
2797,0.5,195.0,0.41998,2.3811,2635.11,2845.1,7.0382
2798,0.5,200.0,0.42503,2.3528,2643.285,2855.8,7.061
2799,0.5,210.0,0.43506,2.2986,2659.67,2877.2,7.1056
2800,0.5,220.0,0.445,2.2472,2675.8,2898.3,7.1489
2801,0.5,230.0,0.45487,2.1984,2691.865,2919.3,7.1911
2802,0.5,240.0,0.46467,2.152,2707.865,2940.2,7.2322
2803,0.5,250.0,0.47443,2.1078,2723.785,2961.0,7.2724
2804,0.5,260.0,0.48414,2.0655,2739.73,2981.8,7.3117
2805,0.5,270.0,0.4938,2.0251,2755.6,3002.5,7.3502
2806,0.5,280.0,0.50344,1.9863,2771.48,3023.2,7.388
2807,0.5,290.0,0.51304,1.9492,2787.38,3043.9,7.425
2808,0.5,300.0,0.52261,1.9135,2803.295,3064.6,7.4614
2809,0.5,310.0,0.53216,1.8791,2819.12,3085.2,7.4972
2810,0.5,320.0,0.54169,1.8461,2835.055,3105.9,7.5323
2811,0.5,330.0,0.55119,1.8143,2851.005,3126.6,7.5669
2812,0.5,340.0,0.56068,1.7836,2866.96,3147.3,7.601
2813,0.5,350.0,0.57015,1.7539,2883.025,3168.1,7.6346
2814,0.5,360.0,0.57961,1.7253,2899.095,3188.9,7.6677
2815,0.5,370.0,0.58905,1.6977,2915.175,3209.7,7.7003
2816,0.5,380.0,0.59848,1.6709,2931.26,3230.5,7.7325
2817,0.5,390.0,0.6079,1.645,2947.45,3251.4,7.7642
2818,0.5,400.0,0.6173,1.6199,2963.65,3272.3,7.7955
2819,0.5,410.0,0.6267,1.5957,2979.95,3293.3,7.8265
2820,0.5,420.0,0.63609,1.5721,2996.355,3314.4,7.857
2821,0.5,430.0,0.64547,1.5493,3012.665,3335.4,7.8872
2822,0.5,440.0,0.65484,1.5271,3029.18,3356.6,7.917
2823,0.5,450.0,0.66421,1.5056,3045.595,3377.7,7.9465
2824,0.5,460.0,0.67357,1.4846,3062.215,3399.0,7.9757
2825,0.5,470.0,0.68292,1.4643,3078.84,3420.3,8.0045
2826,0.5,480.0,0.69227,1.4445,3095.465,3441.6,8.0331
2827,0.5,490.0,0.70161,1.4253,3112.195,3463.0,8.0613
2828,0.5,500.0,0.71094,1.4066,3129.03,3484.5,8.0892
2829,0.5,520.0,0.7296,1.3706,3162.8,3527.6,8.1443
2830,0.5,540.0,0.74824,1.3365,3196.78,3570.9,8.1983
2831,0.5,560.0,0.76687,1.304,3231.065,3614.5,8.2512
2832,0.5,580.0,0.78548,1.2731,3265.66,3658.4,8.3032
2833,0.5,600.0,0.80409,1.2436,3300.455,3702.5,8.3543
2834,0.5,620.0,0.82268,1.2155,3335.46,3746.8,8.4046
